"uld_id","reload_time","des_airport","reload_id","reload_area"
"Reload10_ot2_WNZ_9","15874.28572","WNZ","Re10","10"
"Reload20_ot25_iSIN_3","15880.49714","iSIN","Re20","8_3"
"Reload11_ot4_WEF_9","15880.59","WEF","Re11","7"
"Reload11_ot32_CGQ_5","15881.56286","CGQ","Re11","7"
"Reload7_ot26_FOC_4","15885.04286","FOC","Re7","9"
"Reload7_ot5_CKG_4","15887.68572","CKG","Re7","9"
"Reload4_ot24_BHY_4","15889.47143","BHY","Re4","5"
"Reload20_ot18_iSIN_3","15889.77429","iSIN","Re20","8_3"
"Reload27_ot19_MNL_5","15893.75857","MNL","Re27","4_4"
"Reload13_ot36_PVG_5","15895.28572","PVG","Re13","3"
"Reload1_ot13_CAN_1","15897.54286","CAN","Re1","1"
"Reload14_ot16_HGH_2","15908.4","HGH","Re14","3"
"Reload18_ot32_KUL_2","15912.28572","KUL","Re18","6_1"
"Reload12_ot2_HDG_12","15917.6","HDG","Re12","7"
"Reload6_ot38_WUX_6","15919.23","WUX","Re6","9"
"Reload6_ot35_WUX_9","15920.15857","WUX","Re6","9"
"Reload20_ot30_SIN_2","15920.5","SIN","Re20","8_3"
"Reload20_ot29_SIN_2","15922.12857","SIN","Re20","8_3"
"Reload1_ot12_CAN_1","15925.28571","CAN","Re1","1"
"Reload12_ot1_HDG_12","15926.7","HDG","Re12","7"
"Reload13_ot18_PVG_5","15927.18571","PVG","Re13","3"
"Reload14_ot14_HGH_5","15931.9","HGH","Re14","3"
"Reload13_ot6_PVG_5","15934.14286","PVG","Re13","3"
"Reload13_ot17_PVG_5","15935.12857","PVG","Re13","3"
"Reload10_ot4_WNZ_9","15935.44714","WNZ","Re10","10"
"Reload13_ot8_PVG_5","15946.71429","PVG","Re13","3"
"Reload5_ot31_WUX_10","15950.25714","WUX","Re5","9"
"Reload23_ot8_ICN_2","15957.42286","ICN","Re23","8_7"
"Reload25_ot25_iANC_6","15958.32","iANC","Re25","8_2"
"Reload7_ot7_CKG_4","15962.82857","CKG","Re7","9"
"Reload4_ot23_URC_10","15965.14286","URC","Re4","5"
"Reload12_ot32_TYN_6","15968.41429","TYN","Re12","7"
"Reload20_ot2_JNB_3","15971.5","JNB","Re20","8_3"
"Reload5_ot35_WUX_9","15971.73286","WUX","Re5","9"
"Reload5_ot22_WUX_10","15976.06","WUX","Re5","9"
"Reload7_ot23_FOC_4","15976.47143","FOC","Re7","9"
"Reload3_ot23_XIY_6","15980.44429","XIY","Re3","5"
"Reload20_ot32_SIN_2","15984.14286","SIN","Re20","8_3"
"Reload20_ot4_JNB_3","15991","JNB","Re20","8_3"
"Reload13_ot7_PVG_5","15996.42857","PVG","Re13","3"
"Reload14_ot32_HGH_4","15998.92857","HGH","Re14","3"
"Reload1_ot8_KMG_4","16001.07143","KMG","Re1","1"
"Reload5_ot38_WUX_10","16001.87572","WUX","Re5","9"
"Reload7_ot27_FOC_4","16003.73286","FOC","Re7","9"
"Reload23_ot30_TYO_2","16008.4","TYO","Re23","8_7"
"Reload11_ot8_WEF_9","16009.58714","WEF","Re11","7"
"Reload12_ot18_LYG_6","16009.98572","LYG","Re12","7"
"Reload7_ot9_CKG_4","16016.05","CKG","Re7","9"
"Reload22_ot40_TPE_9","16024.64286","TPE","Re22","8_6"
"Reload10_ot12_WNZ_9","16025.63429","WNZ","Re10","10"
"Reload18_ot18_BKK_2","16027.53429","BKK","Re18","6_1"
"Reload4_ot14_XNN_11","16029.75572","XNN","Re4","5"
"Reload22_ot37_HKG_8","16030.86857","HKG","Re22","8_6"
"Reload10_ot6_WNZ_9","16032.48572","WNZ","Re10","10"
"Reload5_ot27_WUX_10","16037.7","WUX","Re5","9"
"Reload10_ot5_WNZ_9","16038.39572","WNZ","Re10","10"
"Reload21_ot31_DEL_3","16039.13429","DEL","Re21","8_5"
"Reload10_ot24_KWE_4","16040.67143","KWE","Re10","10"
"Reload3_ot29_LHW_9","16040.71857","LHW","Re3","5"
"Reload3_ot22_XIY_6","16041.17429","XIY","Re3","5"
"Reload7_ot33_FOC_0","16041.23286","FOC","Re7","9"
"Reload9_ot7_HRB_4","16044.95714","HRB","Re9","10"
"Reload20_ot33_SIN_2","16049","SIN","Re20","8_3"
"Reload23_ot19_TYO_2","16049.94","TYO","Re23","8_7"
